Region,Zone,Woreda,Pcode,Total Population,IDPs (Acute),Non-Displaced (Acute),TOTAL (Acute),IDPs (Moderate),Non-Displaced (Moderate),TOTAL (Moderate),Grand Total,IDP Male Children,IDP Female Children,IDP Male Adult,IDP Female Adult,IDP Male Elderly,IDP Female Elderly,IDP Male Children2,IDP Female Children2,IDP Male Adult2,IDP Female Adult2,IDP Male Elderly2,IDP Female Elderly2,ND Male Children,ND Female Children,ND Male Adult,ND Female Adult,ND Male Elderly,ND Female Elderly,ND Male Children2,ND Female Children3,ND Male Adult4,ND Female Adult5,ND Male Elderly6,ND Female Elderly7
Addis Ababa,Region 14,Nefas Silk,ET140102,406135.5511,742,0,742,5841,4061.355511,9902.355511,10644.35551,261.2723682,282.1245633,83.63420933,94.00394957,10.48245481,10.48245481,2056.727632,2220.875437,658.3657907,739.9960504,82.51754519,82.51754519,0,0,0,0,0,0,1006.865864,1145.652557,800.7433236,911.1180241,92.13772525,104.838017
Addis Ababa,Region 14,Kolfe - Keran,ET140103,550643.9899,0,0,0,0,5506.439899,5506.439899,5506.439899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1403.285264,1515.127882,1116.008941,1204.955476,128.4138402,138.6484948
Addis Ababa,Region 14,Bole,ET140104,396782.3237,0,0,0,0,3967.823237,3967.823237,3967.823237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,981.4636207,1121.482695,780.5413512,891.8961431,89.81318038,102.6262466
Addis Ababa,Region 14,Lideta,ET140105,258995.5887,0,0,0,0,2589.955887,2589.955887,2589.955887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,650.6264158,722.0502046,517.4321401,574.2342665,59.53845503,66.07440551
Addis Ababa,Region 14,Kirkos,ET140106,284095.9594,0,0,0,0,2840.959594,2840.959594,2840.959594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,699.4764653,806.2321193,556.281755,641.1827137,64.00869541,73.77784488
Addis Ababa,Region 14,Yeka,ET140107,445176.1332,0,0,0,0,4451.761332,4451.761332,4451.761332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1092.073857,1267.359649,868.5077941,1007.909607,99.93506053,115.9753641
Addis Ababa,Region 14,Addis Ketema,ET140108,327842.3488,0,0,0,0,3278.423488,3278.423488,3278.423488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,844.0884647,893.4759842,671.2892224,710.566278,77.24205761,81.76148157
Addis Ababa,Region 14,Arada,ET140109,271593.9179,0,0,0,0,2715.939179,2715.939179,2715.939179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,670.1816368,769.2661282,532.9840753,611.7842888,61.32794223,70.39510796
Addis Ababa,Region 14,Gulele,ET140110,343597.6868,0,0,0,0,3435.976868,3435.976868,3435.976868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,874.4908071,946.5769327,695.4676891,752.7965606,80.02415876,86.62071931
Dire Dawa,Dire Dawa rural,Aseliso,ET150101O,63810.22642,0,0,0,0,638.1022642,638.1022642,638.1022642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170.0745399,168.1196601,135.2573935,133.7027108,15.56342488,15.38453494
